"","Year","Area","Street","Street 2"
"1",2011,"Birmingham","Acocks Green",""
"2",2011,"Birmingham","Adderly Str.",""
"3",2011,"Birmingham","Alcester Raod  Mosley",""
"4",2011,"Birmingham","Alcester Rd.",""
"5",2011,"Birmingham","Alcester Rd.",""
"6",2011,"Birmingham","Alcester Rd.",""
"7",2011,"Birmingham","Alfred Str.",""
"8",2011,"Birmingham","All Service Club  Mosley",""
"9",2011,"Birmingham","Alum Rd.",""
"10",2011,"Birmingham","Alum Rd.",""
"11",2011,"Birmingham","Alum Rd.",""
"12",2011,"Birmingham","Alum Rd.",""
"13",2011,"Birmingham","Arcadian Centre",""
"14",2011,"Birmingham","Arden Rd.",""
"15",2011,"Birmingham","Asda  Chemsley Wood",""
"16",2011,"Birmingham","Balsahll Heath Park  J W Brighton Rd.",""
"17",2011,"Birmingham","Bamford Rd.",""
"18",2011,"Birmingham","Bamford Rd.",""
"19",2011,"Birmingham","Beechbrook Ave.",""
"20",2011,"Birmingham","Belchers Ln.",""
"21",2011,"Birmingham","Belchers Ln.",""
"22",2011,"Birmingham","Belchers Ln.",""
"23",2011,"Birmingham","Belchers Ln.",""
"24",2011,"Birmingham","Bell Str.",""
"25",2011,"Birmingham","Berkley Rd East    Haymills ",""
"26",2011,"Birmingham","Birmingham Airport",""
"27",2011,"Birmingham","Birmingham International Railway Str.",""
"28",2011,"Birmingham","Bordesley Green",""
"29",2011,"Birmingham","Bordesley Green    Bordesley Green ",""
"30",2011,"Birmingham","Bristol Rd.",""
"31",2011,"Birmingham","Bristol Str.",""
"32",2011,"Birmingham","Broad Str.",""
"33",2011,"Birmingham","Broad Str.",""
"34",2011,"Birmingham","Broad Str.",""
"35",2011,"Birmingham","Buckland End Ln.",""
"36",2011,"Birmingham","Bulls Head Ph  Str.",""
"37",2011,"Birmingham","Bushbury Rd.",""
"38",2011,"Birmingham","Chartice Rd.",""
"39",2011,"Birmingham","Chestnut Rd.",""
"40",2011,"Birmingham","Church Rd  Str.",""
"41",2011,"Birmingham","Church Rd.",""
"42",2011,"Birmingham","Clifford Rd Dorridge ",""
"43",2011,"Birmingham","Clock Ln.",""
"44",2011,"Birmingham","Colonial Rd.",""
"45",2011,"Birmingham","Corporation Str.",""
"46",2011,"Birmingham","Corporation Str.",""
"47",2011,"Birmingham","Coventry Rd Small Heath",""
"48",2011,"Birmingham","Coventry Rd  Small Heath  Bham",""
"49",2011,"Birmingham","Coventry Rd.",""
"50",2011,"Birmingham","Coventry Rd.",""
"51",2011,"Birmingham","Coventry Rd.",""
"52",2011,"Birmingham","Coventry Rd.",""
"53",2011,"Birmingham","Coventry Rd.",""
"54",2011,"Birmingham","Coventry Rd.",""
"55",2011,"Birmingham","Coventry Rd.",""
"56",2011,"Birmingham","Coventry Rd.",""
"57",2011,"Birmingham","Cranes Park Rd.",""
"58",2011,"Birmingham","Cranes Park Rd.",""
"59",2011,"Birmingham","Crossfield Rd.",""
"60",2011,"Birmingham","Crossfields Rd.",""
"61",2011,"Birmingham","Cxhurch Rd  Str.",""
"62",2011,"Birmingham","Digbeth High Str.",""
"63",2011,"Birmingham","Edgbaston Rd.",""
"64",2011,"Birmingham","Edward Rd.",""
"65",2011,"Birmingham","Fighting Cox Ph",""
"66",2011,"Birmingham","Foremans Rd.",""
"67",2011,"Birmingham","Front Office  Kings Heath",""
"68",2011,"Birmingham","Garretts Green Rd.",""
"69",2011,"Birmingham","Giles Close",""
"70",2011,"Birmingham","Giles Close  Str.",""
"71",2011,"Birmingham","Glazedale Rd.",""
"72",2011,"Birmingham","Gospel Farm Rd.",""
"73",2011,"Birmingham","Gospel Farm Rd.",""
"74",2011,"Birmingham","Gospel Ln.",""
"75",2011,"Birmingham","Gospel Ln.",""
"76",2011,"Birmingham","Gospel Ln.",""
"77",2011,"Birmingham","Gospel Ln.",""
"78",2011,"Birmingham","Grace Church  Sutton Coldfield",""
"79",2011,"Birmingham","Great Hampton Str.",""
"80",2011,"Birmingham","Green Ln.",""
"81",2011,"Birmingham","Greswell Ln.",""
"82",2011,"Birmingham","Harlequin Drive  Mosley",""
"83",2011,"Birmingham","Haslucks Green Rd.",""
"84",2011,"Birmingham","Hazeldean Rd.",""
"85",2011,"Birmingham","Heartlands Hospital",""
"86",2011,"Birmingham","Heartlands Hospital",""
"87",2011,"Birmingham","Heartlands Hospital A   E ",""
"88",2011,"Birmingham","Heartlands Hospital A   E ",""
"89",2011,"Birmingham","Heartlands Hospital A   E ",""
"90",2011,"Birmingham","Hepben Grove",""
"91",2011,"Birmingham","Herrick Rd.",""
"92",2011,"Birmingham","Herrick Rd.",""
"93",2011,"Birmingham","Herrick Rd.",""
"94",2011,"Birmingham","High Str.",""
"95",2011,"Birmingham","High Str.",""
"96",2011,"Birmingham","High Str.",""
"97",2011,"Birmingham","High Str.",""
"98",2011,"Birmingham","Hob Moor Rd.",""
"99",2011,"Birmingham","Holloway Head Bham City Centre",""
"100",2011,"Birmingham","Hollywell Rd.",""
"101",2011,"Birmingham","Home Address",""
"102",2011,"Birmingham","Home Address",""
"103",2011,"Birmingham","Homer Str.",""
"104",2011,"Birmingham","Hunters Moon Public House ",""
"105",2011,"Birmingham","Hurst Str.",""
"106",2011,"Birmingham","Hurst Str.",""
"107",2011,"Birmingham","Hurst Str.",""
"108",2011,"Birmingham","Hurst Str.",""
"109",2011,"Birmingham","Kings Heath High Str.",""
"110",2011,"Birmingham","Knowle Rd  Small Heath  Bham",""
"111",2011,"Birmingham","Ln.",""
"112",2011,"Birmingham","Ln.",""
"113",2011,"Birmingham","Ln.",""
"114",2011,"Birmingham","Lea Hall Rd",""
"115",2011,"Birmingham","Lea Hall Rd",""
"116",2011,"Birmingham","Lea Village  Str.",""
"117",2011,"Birmingham","Lenches Close  Mosley",""
"118",2011,"Birmingham","Lime Tree Rd.",""
"119",2011,"Birmingham","Lode Ln.",""
"120",2011,"Birmingham","Long Str.",""
"121",2011,"Birmingham","Long Str.",""
"122",2011,"Birmingham","Longbridge Ln.",""
"123",2011,"Birmingham","Longmeadow Crescent Shard End   Bham",""
"124",2011,"Birmingham","Maccadown Ln.",""
"125",2011,"Birmingham","Masshouse Ln.",""
"126",2011,"Birmingham","Meadwaym Str.",""
"127",2011,"Birmingham","Mickleover Rd.",""
"128",2011,"Birmingham","Moorcroft Rd.",""
"129",2011,"Birmingham","Moseley Rd.",""
"130",2011,"Birmingham","Moseley Rd.",""
"131",2011,"Birmingham","Moseley Rd.",""
"132",2011,"Birmingham","Moseley Rd.",""
"133",2011,"Birmingham","Moseley Village",""
"134",2011,"Birmingham","Moseley Village",""
"135",2011,"Birmingham","Moseley Village  Alcester Rd.",""
"136",2011,"Birmingham","Mosley All Services Club  Church Rd.",""
"137",2011,"Birmingham","Nearlands Close Quinton",""
"138",2011,"Birmingham","New Str.",""
"139",2011,"Birmingham","Northfield High Str.",""
"140",2011,"Birmingham","O S Behans  Highfield Rd.",""
"141",2011,"Birmingham","O S The Junction  Mosley Village",""
"142",2011,"Birmingham","O S Washwood Heath Rd.",""
"143",2011,"Birmingham","Oakhill Rd.",""
"144",2011,"Birmingham","Opp White Hart Ln.",""
"145",2011,"Birmingham","Opposite  Aldi  Str.",""
"146",2011,"Birmingham","Outside Java Lounge Alcester Rd.",""
"147",2011,"Birmingham","Outside O2 Academy Night Club B Ham City Centre",""
"148",2011,"Birmingham","Outside Raven Public House",""
"149",2011,"Birmingham","Packington Ave.",""
"150",2011,"Birmingham","Park Off Hob Moor Rd.",""
"151",2011,"Birmingham","Parkhall Croft",""
"152",2011,"Birmingham","Pear Tree Ph",""
"153",2011,"Birmingham","Police Str.",""
"154",2011,"Birmingham","Police Str.",""
"155",2011,"Birmingham","Poplar Rd.",""
"156",2011,"Birmingham","Poplar Rd.",""
"157",2011,"Birmingham","Poplar Rd.",""
"158",2011,"Birmingham","Poplar Rd.",""
"159",2011,"Birmingham","Preston Rd.",""
"160",2011,"Birmingham","Priory Rd.",""
"161",2011,"Birmingham","Prospect Rd.",""
"162",2011,"Birmingham","Queenswood Rd.",""
"163",2011,"Birmingham","Rear Of Boots  High Str.",""
"164",2011,"Birmingham","Reddings Ln.",""
"165",2011,"Birmingham","Richmond Primary Care Centre  Richmond Rd.",""
"166",2011,"Birmingham","Ring Rd.",""
"167",2011,"Birmingham","Sainsburys  Wawrick Rd.",""
"168",2011,"Birmingham","Sainsburys  Alcester Rd.",""
"169",2011,"Birmingham","Sandford Rd.",""
"170",2011,"Birmingham","Sarehole Mill",""
"171",2011,"Birmingham","Sedgemere Rd.",""
"172",2011,"Birmingham","Shirley Rd.",""
"173",2011,"Birmingham","Shirley Rd.",""
"174",2011,"Birmingham","Snow Hill",""
"175",2011,"Birmingham","Solihull Ln.",""
"176",2011,"Birmingham","Str.",""
"177",2011,"Birmingham","Str.",""
"178",2011,"Birmingham","Str.",""
"179",2011,"Birmingham","Str.",""
"180",2011,"Birmingham","Str.",""
"181",2011,"Birmingham","Str.",""
"182",2011,"Birmingham","Str.",""
"183",2011,"Birmingham","Str.",""
"184",2011,"Birmingham","Str.",""
"185",2011,"Birmingham","Str.",""
"186",2011,"Birmingham","Str.",""
"187",2011,"Birmingham","Str.",""
"188",2011,"Birmingham","Str.",""
"189",2011,"Birmingham","Str.",""
"190",2011,"Birmingham","Str.",""
"191",2011,"Birmingham","Str.",""
"192",2011,"Birmingham","Str.",""
"193",2011,"Birmingham","Str.",""
"194",2011,"Birmingham","Talbort Str.",""
"195",2011,"Birmingham","Taunton Rd.",""
"196",2011,"Birmingham","Tavistock Rd.",""
"197",2011,"Birmingham","The Ave.",""
"198",2011,"Birmingham","The Paer Tree Pub",""
"199",2011,"Birmingham","Trafalger Rd.",""
"200",2011,"Birmingham","Wake Green Rd.",""
"201",2011,"Birmingham","Ward End Rd.",""
"202",2011,"Birmingham","Warwick Rd.",""
"203",2011,"Birmingham","Warwick Rd.",""
"204",2011,"Birmingham","Warwick Rd.",""
"205",2011,"Birmingham","Warwick Rd.",""
"206",2011,"Birmingham","Warwick Rd.",""
"207",2011,"Birmingham","Warwick Rd.",""
"208",2011,"Birmingham","Wash Ln.",""
"209",2011,"Birmingham","Washford Heath Rd.",""
"210",2011,"Birmingham","Washwood Heath Pub",""
"211",2011,"Birmingham","Washwood Heath Rd  Washwood Heath  Bham",""
"212",2011,"Birmingham","Washwood Heath Rd.",""
"213",2011,"Birmingham","Washwood Heath Rd.",""
"214",2011,"Birmingham","Washwood Heath Rd.",""
"215",2011,"Birmingham","Washwood Heath Rd.",""
"216",2011,"Birmingham","Watery Ln.",""
"217",2011,"Birmingham","Wawrick Rd.",""
"218",2011,"Birmingham","Welshfarm Rd.",""
"219",2011,"Birmingham","Westley Rd.",""
"220",2011,"Birmingham","Westley Rd.",""
